{580 elems.} [00404.974 ms; 0 err.] linearSearch
{580 elems.} [00198.957 ms; 0 err.] binarySearch
{590 elems.} [00420.108 ms; 0 err.] linearSearch
{590 elems.} [00205.810 ms; 0 err.] binarySearch
{600 elems.} [00412.965 ms; 0 err.] linearSearch
{600 elems.} [00189.225 ms; 0 err.] binarySearch
{610 elems.} [00441.208 ms; 0 err.] linearSearch
{610 elems.} [00203.904 ms; 0 err.] binarySearch
{620 elems.} [00414.427 ms; 0 err.] linearSearch
{620 elems.} [00191.989 ms; 0 err.] binarySearch
{630 elems.} [00429.779 ms; 0 err.] linearSearch
{630 elems.} [00196.468 ms; 0 err.] binarySearch
{640 elems.} [00453.152 ms; 0 err.] linearSearch
{640 elems.} [00195.035 ms; 0 err.] binarySearch
{650 elems.} [00436.942 ms; 0 err.] linearSearch
{650 elems.} [00195.402 ms; 0 err.] binarySearch
{660 elems.} [00442.933 ms; 0 err.] linearSearch
{660 elems.} [00202.367 ms; 0 err.] binarySearch
{670 elems.} [00467.151 ms; 0 err.] linearSearch
{670 elems.} [00202.184 ms; 0 err.] binarySearch
{680 elems.} [00467.643 ms; 0 err.] linearSearch
{680 elems.} [00213.693 ms; 0 err.] binarySearch
{690 elems.} [00464.704 ms; 0 err.] linearSearch
{690 elems.} [00205.708 ms; 0 err.] binarySearch
{700 elems.} [00471.070 ms; 0 err.] linearSearch
{700 elems.} [00203.595 ms; 0 err.] binarySearch
{710 elems.} [00478.627 ms; 0 err.] linearSearch
{710 elems.} [00206.628 ms; 0 err.] binarySearch
{720 elems.} [00469.729 ms; 0 err.] linearSearch
{720 elems.} [00208.851 ms; 0 err.] binarySearch
{730 elems.} [00509.939 ms; 0 err.] linearSearch
{730 elems.} [00205.391 ms; 0 err.] binarySearch
{740 elems.} [00500.965 ms; 0 err.] linearSearch
{740 elems.} [00218.545 ms; 0 err.] binarySearch
{750 elems.} [00519.192 ms; 0 err.] linearSearch
{750 elems.} [00202.310 ms; 0 err.] binarySearch
{760 elems.} [00510.738 ms; 0 err.] linearSearch
{760 elems.} [00207.212 ms; 0 err.] binarySearch
{770 elems.} [00490.645 ms; 0 err.] linearSearch
{770 elems.} [00198.959 ms; 0 err.] binarySearch
{780 elems.} [00516.877 ms; 0 err.] linearSearch
{780 elems.} [00206.704 ms; 0 err.] binarySearch
{790 elems.} [00523.624 ms; 0 err.] linearSearch
{790 elems.} [00214.135 ms; 0 err.] binarySearch
{800 elems.} [00539.855 ms; 0 err.] linearSearch
{800 elems.} [00215.593 ms; 0 err.] binarySearch
{810 elems.} [00526.670 ms; 0 err.] linearSearch
{810 elems.} [00218.406 ms; 0 err.] binarySearch
{820 elems.} [00540.166 ms; 0 err.] linearSearch
{820 elems.} [00216.830 ms; 0 err.] binarySearch
{830 elems.} [00534.546 ms; 0 err.] linearSearch
{830 elems.} [00211.457 ms; 0 err.] binarySearch
{840 elems.} [00544.914 ms; 0 err.] linearSearch
{840 elems.} [00213.147 ms; 0 err.] binarySearch
{850 elems.} [00558.346 ms; 0 err.] linearSearch
{850 elems.} [00217.540 ms; 0 err.] binarySearch
{860 elems.} [00577.875 ms; 0 err.] linearSearch
{860 elems.} [00216.335 ms; 0 err.] binarySearch
{870 elems.} [00579.029 ms; 0 err.] linearSearch
{870 elems.} [00208.681 ms; 0 err.] binarySearch
{880 elems.} [00580.987 ms; 0 err.] linearSearch
{880 elems.} [00210.442 ms; 0 err.] binarySearch
{890 elems.} [00579.877 ms; 0 err.] linearSearch
{890 elems.} [00212.021 ms; 0 err.] binarySearch
{900 elems.} [00586.387 ms; 0 err.] linearSearch
{900 elems.} [00218.577 ms; 0 err.] binarySearch
{910 elems.} [00576.551 ms; 0 err.] linearSearch
{910 elems.} [00218.078 ms; 0 err.] binarySearch
